artist,bron_collectie,bron_listing_urls,detail_checked_at,detail_opmerking,detail_status,drager,ean,line_number,mogelijk_2e_hands,prijs,product_handle,reason,title,url,url_listing
Various,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=119 | https://bobsvinyl.nl/collections/nieuwe-lps?page=119 | https://bobsvinyl.nl/collections/nieuwe-lps?page=117,2026-03-12 22:06:25,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,4239,NEE,"19,95",various-its-no-good-60s-anti-war-draft-protest-rock-lp,detail_status_not_ok,It's No Good! 60's Anti War-Draft-Protest Rock!,https://bobsvinyl.nl/products/various-its-no-good-60s-anti-war-draft-protest-rock-lp,https://bobsvinyl.nl/products/various-its-no-good-60s-anti-war-draft-protest-rock-lp
Various,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=118 | https://bobsvinyl.nl/collections/nieuwe-lps?page=118 | https://bobsvinyl.nl/collections/nieuwe-lps?page=116,2026-03-12 22:06:20,,ok,LP,8719039006113,4250,JA,"28,95",various-pin-up-girls-not-easy-to-get-lp,secondhand,Pin-Up Girls - Not Easy To Get,https://bobsvinyl.nl/products/various-pin-up-girls-not-easy-to-get-lp,https://bobsvinyl.nl/products/various-pin-up-girls-not-easy-to-get-lp
Various,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=118 | https://bobsvinyl.nl/collections/nieuwe-lps?page=118 | https://bobsvinyl.nl/collections/nieuwe-lps?page=117,2026-03-12 22:06:35,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,4266,NEE,"24,95",various-wild-west-freak-out-lp,detail_status_not_ok,Wild west freak-out!,https://bobsvinyl.nl/products/various-wild-west-freak-out-lp,https://bobsvinyl.nl/products/various-wild-west-freak-out-lp
Various ‎– Keystone State Rock,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=119 | https://bobsvinyl.nl/collections/nieuwe-lps?page=119 | https://bobsvinyl.nl/collections/nieuwe-lps?page=117,2026-03-12 22:06:37,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,4272,NEE,"19,95",various-keystone-state-rock-vol-2-lp,detail_status_not_ok,Vol.2,https://bobsvinyl.nl/products/various-keystone-state-rock-vol-2-lp,https://bobsvinyl.nl/products/various-keystone-state-rock-vol-2-lp
Various – The V-Lips,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=119 | https://bobsvinyl.nl/collections/nieuwe-lps?page=119 | https://bobsvinyl.nl/collections/nieuwe-lps?page=117,2026-03-12 22:06:28,2e hands-vermelding gevonden; geen EAN zichtbaar,2e_hands_bevestigd,K30,,4274,JA,"16,95",various-the-v-lips-greatest-hits-lp-k30,detail_status_not_ok,Greatest Hits (LP),https://bobsvinyl.nl/products/various-the-v-lips-greatest-hits-lp-k30,https://bobsvinyl.nl/products/various-the-v-lips-greatest-hits-lp-k30
Warren Zevon,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=120 | https://bobsvinyl.nl/collections/nieuwe-lps?page=120 | https://bobsvinyl.nl/collections/nieuwe-lps?page=119,2026-03-12 22:06:45,,ok,2LP,607396559015,4319,JA,"37,95",warren-zevon-preludes-2lp,secondhand,Preludes,https://bobsvinyl.nl/products/warren-zevon-preludes-2lp,https://bobsvinyl.nl/products/warren-zevon-preludes-2lp
Will Hoge,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=122 | https://bobsvinyl.nl/collections/nieuwe-lps?page=122 | https://bobsvinyl.nl/collections/nieuwe-lps?page=120,2026-03-12 22:07:03,,ok,LP,689176893977,4374,JA,"34,95",will-hoge-wings-on-my-shoes-lp,secondhand,Wings On My Shoes,https://bobsvinyl.nl/products/will-hoge-wings-on-my-shoes-lp,https://bobsvinyl.nl/products/will-hoge-wings-on-my-shoes-lp
Yoko Ono With Plastic Ono Band,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=123 | https://bobsvinyl.nl/collections/nieuwe-lps?page=123 | https://bobsvinyl.nl/collections/nieuwe-lps?page=121,2026-03-12 22:07:25,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,2LP,,4418,NEE,"19,95",yoko-ono-with-plastic-ono-band-approximately-infinite-universe-2lp,detail_status_not_ok,Approximately Infinite Universe,https://bobsvinyl.nl/products/yoko-ono-with-plastic-ono-band-approximately-infinite-universe-2lp,https://bobsvinyl.nl/products/yoko-ono-with-plastic-ono-band-approximately-infinite-universe-2lp
Youn Sun Nah,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=123 | https://bobsvinyl.nl/collections/nieuwe-lps?page=123 | https://bobsvinyl.nl/collections/nieuwe-lps?page=122,2026-03-12 22:07:28,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,4423,NEE,"32,95",youn-sun-nah-waking-world-lp,detail_status_not_ok,Waking World,https://bobsvinyl.nl/products/youn-sun-nah-waking-world-lp,https://bobsvinyl.nl/products/youn-sun-nah-waking-world-lp
Zulu,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=124 | https://bobsvinyl.nl/collections/nieuwe-lps?page=124 | https://bobsvinyl.nl/collections/nieuwe-lps?page=123,2026-03-12 22:07:37,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,4456,NEE,"25,95",zulu-zulu-lp,detail_status_not_ok,Zulu,https://bobsvinyl.nl/products/zulu-zulu-lp,https://bobsvinyl.nl/products/zulu-zulu-lp
Beck,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=8,2026-03-12 21:45:26,,ok,LP,0199584061719,512,NEE,"32,95",beck-everybodys-gotta-learn-sometime-lp,conflicting_duplicate_ean,Everybody's Gotta Learn Sometime,https://bobsvinyl.nl/products/beck-everybodys-gotta-learn-sometime-lp,https://bobsvinyl.nl/products/beck-everybodys-gotta-learn-sometime-lp
Jeff Buckley,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=50 | https://bobsvinyl.nl/collections/nieuwe-lps?page=50 | https://bobsvinyl.nl/collections/nieuwe-lps?page=49,2026-03-12 21:53:27,,ok,4LP,0199584061719,1917,NEE,"74,95",jeff-buckley-live-at-sin-e-2lp,conflicting_duplicate_ean,Live At Sin-É,https://bobsvinyl.nl/products/jeff-buckley-live-at-sin-e-2lp,https://bobsvinyl.nl/products/jeff-buckley-live-at-sin-e-2lp
Hooverphonic,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=45,2026-03-12 21:52:30,,ok,LP,8719262019515,1757,NEE,"19,95",hooverphonic-in-wonderland-lp-1,duplicate_same_product_same_price,In Wonderland,https://bobsvinyl.nl/products/hooverphonic-in-wonderland-lp-1,https://bobsvinyl.nl/products/hooverphonic-in-wonderland-lp-1
Idlewild,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=46 | https://bobsvinyl.nl/collections/nieuwe-lps?page=46 | https://bobsvinyl.nl/collections/nieuwe-lps?page=45,2026-03-12 21:52:41,,ok,LP,8717931353335,1790,NEE,"32,95",idlewild-idlewild-lp,conflicting_duplicate_ean,Idlewild,https://bobsvinyl.nl/products/idlewild-idlewild-lp,https://bobsvinyl.nl/products/idlewild-idlewild-lp
Idlewild,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=46 | https://bobsvinyl.nl/collections/nieuwe-lps?page=46 | https://bobsvinyl.nl/collections/nieuwe-lps?page=45,2026-03-12 21:52:41,,ok,LP,8717931353335,1791,NEE,"32,95",idlewild-idlewild-blue-lp,conflicting_duplicate_ean,Idlewild -Blue-,https://bobsvinyl.nl/products/idlewild-idlewild-blue-lp,https://bobsvinyl.nl/products/idlewild-idlewild-blue-lp
Nancy Sinatra,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=75 | https://bobsvinyl.nl/collections/nieuwe-lps?page=75 | https://bobsvinyl.nl/collections/nieuwe-lps?page=74,2026-03-12 21:58:15,,ok,2LP,729920165919,2781,NEE,"59,95",nancy-sinatra-keep-walkin-singles-demos-rarities-1965-1978-2lp,conflicting_duplicate_ean,"Keep Walkin': Singles, Demos & Rarities 1965-1978",https://bobsvinyl.nl/products/nancy-sinatra-keep-walkin-singles-demos-rarities-1965-1978-2lp,https://bobsvinyl.nl/products/nancy-sinatra-keep-walkin-singles-demos-rarities-1965-1978-2lp
Sufjan Stevens,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=102 | https://bobsvinyl.nl/collections/nieuwe-lps?page=102 | https://bobsvinyl.nl/collections/nieuwe-lps?page=101,2026-03-12 22:03:24,,ok,LP,729920165919,3708,NEE,"34,95",sufjan-stevens-javelin-indie-only-lp,conflicting_duplicate_ean,Javelin -Indie Only-,https://bobsvinyl.nl/products/sufjan-stevens-javelin-indie-only-lp,https://bobsvinyl.nl/products/sufjan-stevens-javelin-indie-only-lp
Sevdaliza,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=95 | https://bobsvinyl.nl/collections/nieuwe-lps?page=95 | https://bobsvinyl.nl/collections/nieuwe-lps?page=94,2026-03-12 22:02:05,,ok,LP,0628425430334,3475,NEE,"34,95",sevdaliza-heroina-lp,conflicting_duplicate_ean,Heroina,https://bobsvinyl.nl/products/sevdaliza-heroina-lp,https://bobsvinyl.nl/products/sevdaliza-heroina-lp
The Smile,nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=110 | https://bobsvinyl.nl/collections/nieuwe-lps?page=110 | https://bobsvinyl.nl/collections/nieuwe-lps?page=109,2026-03-12 22:04:47,,ok,2LP,0628425430334,3970,NEE,"34,95",the-smile-a-light-for-attracting-attention-2lp,conflicting_duplicate_ean,A Light For Attracting Attention,https://bobsvinyl.nl/products/the-smile-a-light-for-attracting-attention-2lp,https://bobsvinyl.nl/products/the-smile-a-light-for-attracting-attention-2lp
